<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/10/05,000000,27350.0000000,27780.0000000,25151.0000000,25551.0100000,73328
10/10/05,000000,25920.0000000,27300.0000000,24328.5000000,24432.0000000,67131
17/10/05,000000,24894.0000000,25148.7700000,23347.0000000,23865.0000000,62371
24/10/05,000000,23875.0000000,24800.0000000,23401.0000000,24525.0000000,71807
31/10/05,000000,24839.5000000,27128.7500000,24600.0000000,26770.0000000,75276
07/11/05,000000,26757.5000000,28349.0000000,26716.0000000,28349.0000000,98689
14/11/05,000000,28312.0000000,31839.0000000,28151.0000000,31101.0000000,162404
21/11/05,000000,31285.0000000,32200.0000000,30870.0000000,31493.9800000,92184
28/11/05,000000,31410.0100000,34250.0000000,31330.0000000,34099.0000000,110025
05/12/05,000000,34344.0000000,35250.0000000,33701.0000000,34685.0000000,90191
12/12/05,000000,34799.0000000,35150.0000000,34371.0000000,34690.0000000,92186
19/12/05,000000,34601.0000000,38783.0000000,30000.0000000,37399.9900000,178942
26/12/05,000000,37499.9900000,38175.0000000,36906.0000000,37662.7200000,60222
09/01/06,000000,38550.0000000,49300.0000000,38300.0000000,45510.0000000,257693
16/01/06,000000,45510.0000000,46994.0000000,39487.0000000,44099.9900000,281013
23/01/06,000000,43500.0000000,43907.0100000,41600.0000000,43500.1000000,136539
30/01/06,000000,43890.0000000,44199.0000000,40500.0100000,40501.0100000,113863
